response,context1,context2,context3,context4,context5,context6,context7
The only family he has.,They really are...,"They're the worst sort of Muggles, imaginable.",I've watched them all day.,"Albus, do you really think it's safe, leaving him with these people?",There you go.,Try not to wake him.,Little tyke fell asleep just as we were flying over Bristol.
This boy will be famous.,The only family he has.,They really are...,"They're the worst sort of Muggles, imaginable.",I've watched them all day.,"Albus, do you really think it's safe, leaving him with these people?",There you go.,Try not to wake him.
There won't be a child in our world who doesn't know his name.,This boy will be famous.,The only family he has.,They really are...,"They're the worst sort of Muggles, imaginable.",I've watched them all day.,"Albus, do you really think it's safe, leaving him with these people?",There you go.
Exactly.,There won't be a child in our world who doesn't know his name.,This boy will be famous.,The only family he has.,They really are...,"They're the worst sort of Muggles, imaginable.",I've watched them all day.,"Albus, do you really think it's safe, leaving him with these people?"
He's far better off growing up away from all of that.,Exactly.,There won't be a child in our world who doesn't know his name.,This boy will be famous.,The only family he has.,They really are...,"They're the worst sort of Muggles, imaginable.",I've watched them all day.
Until he's ready.,He's far better off growing up away from all of that.,Exactly.,There won't be a child in our world who doesn't know his name.,This boy will be famous.,The only family he has.,They really are...,"They're the worst sort of Muggles, imaginable."
"There, there, Hagrid.",Until he's ready.,He's far better off growing up away from all of that.,Exactly.,There won't be a child in our world who doesn't know his name.,This boy will be famous.,The only family he has.,They really are...
"It's not really goodbye, after all.","There, there, Hagrid.",Until he's ready.,He's far better off growing up away from all of that.,Exactly.,There won't be a child in our world who doesn't know his name.,This boy will be famous.,The only family he has.
Good luck...Harry Potter.,"It's not really goodbye, after all.","There, there, Hagrid.",Until he's ready.,He's far better off growing up away from all of that.,Exactly.,There won't be a child in our world who doesn't know his name.,This boy will be famous.
Up. Get up!,Good luck...Harry Potter.,"It's not really goodbye, after all.","There, there, Hagrid.",Until he's ready.,He's far better off growing up away from all of that.,Exactly.,There won't be a child in our world who doesn't know his name.
Now!,Up. Get up!,Good luck...Harry Potter.,"It's not really goodbye, after all.","There, there, Hagrid.",Until he's ready.,He's far better off growing up away from all of that.,Exactly.
"Wake up, cousin!",Now!,Up. Get up!,Good luck...Harry Potter.,"It's not really goodbye, after all.","There, there, Hagrid.",Until he's ready.,He's far better off growing up away from all of that.
We're going to the zoo!,"Wake up, cousin!",Now!,Up. Get up!,Good luck...Harry Potter.,"It's not really goodbye, after all.","There, there, Hagrid.",Until he's ready.
"Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!",Now!,Up. Get up!,Good luck...Harry Potter.,"It's not really goodbye, after all.","There, there, Hagrid."
"Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!",Now!,Up. Get up!,Good luck...Harry Potter.,"It's not really goodbye, after all."
"Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!",Now!,Up. Get up!,Good luck...Harry Potter.
"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!",Now!,Up. Get up!
I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!",Now!
"Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!,"Wake up, cousin!"
"Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy.",We're going to the zoo!
"Aren't they wonderful, darling?","Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son.","Here he comes, the birthday boy."
How many are there?,"Aren't they wonderful, darling?","Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything.","Happy birthday, son."
36. Counted them myself.,How many are there?,"Aren't they wonderful, darling?","Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia.","Why don't you just cook the breakfast, and try not to burn anything."
36?! But last year... last year I had 37!,36. Counted them myself.,How many are there?,"Aren't they wonderful, darling?","Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!,"Yes, Aunt Petunia."
But some of them are quite a bit bigger than last year's.,36?! But last year... last year I had 37!,36. Counted them myself.,How many are there?,"Aren't they wonderful, darling?","Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy.",I want everything to be perfect for my Dudley's special day!
I don't care how big they are!,But some of them are quite a bit bigger than last year's.,36?! But last year... last year I had 37!,36. Counted them myself.,How many are there?,"Aren't they wonderful, darling?","Yes, Uncle Vernon.","Hurry up! Bring my coffee, boy."
"Oh, now, now, now. ",I don't care how big they are!,But some of them are quite a bit bigger than last year's.,36?! But last year... last year I had 37!,36. Counted them myself.,How many are there?,"Aren't they wonderful, darling?","Yes, Uncle Vernon."
This is what we're going to do...,"Oh, now, now, now. ",I don't care how big they are!,But some of them are quite a bit bigger than last year's.,36?! But last year... last year I had 37!,36. Counted them myself.,How many are there?,"Aren't they wonderful, darling?"
"is that when we go out, we're going to buy you two new presents.",This is what we're going to do...,"Oh, now, now, now. ",I don't care how big they are!,But some of them are quite a bit bigger than last year's.,36?! But last year... last year I had 37!,36. Counted them myself.,How many are there?
"How's that, pumpkin?","is that when we go out, we're going to buy you two new presents.",This is what we're going to do...,"Oh, now, now, now. ",I don't care how big they are!,But some of them are quite a bit bigger than last year's.,36?! But last year... last year I had 37!,36. Counted them myself.
It should be a lovely day at the zoo.,"How's that, pumpkin?","is that when we go out, we're going to buy you two new presents.",This is what we're going to do...,"Oh, now, now, now. ",I don't care how big they are!,But some of them are quite a bit bigger than last year's.,36?! But last year... last year I had 37!
I'm really looking forward to it.,It should be a lovely day at the zoo.,"How's that, pumpkin?","is that when we go out, we're going to buy you two new presents.",This is what we're going to do...,"Oh, now, now, now. ",I don't care how big they are!,But some of them are quite a bit bigger than last year's.
"I'm warning you now, boy.",I'm really looking forward to it.,It should be a lovely day at the zoo.,"How's that, pumpkin?","is that when we go out, we're going to buy you two new presents.",This is what we're going to do...,"Oh, now, now, now. ",I don't care how big they are!
"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.,It should be a lovely day at the zoo.,"How's that, pumpkin?","is that when we go out, we're going to buy you two new presents.",This is what we're going to do...,"Oh, now, now, now. "
And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.,It should be a lovely day at the zoo.,"How's that, pumpkin?","is that when we go out, we're going to buy you two new presents.",This is what we're going to do...
Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.,It should be a lovely day at the zoo.,"How's that, pumpkin?","is that when we go out, we're going to buy you two new presents."
Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.,It should be a lovely day at the zoo.,"How's that, pumpkin?"
Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.,It should be a lovely day at the zoo.
Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy.",I'm really looking forward to it.
He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all...","I'm warning you now, boy."
He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.,"Any funny business, any at all..."
Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.,And you won't have any meals for a week.
"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.,Get in.
...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!,Make it move.
Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!,Move!
"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!,Move!
Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.,He's asleep!
"I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.,He's boring.
"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day...",Sorry about him.
Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.,"He doesn't understand what it's like, lying there day after day..."
Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?,...watching people press their ugly faces in on you.
I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before.",Can you hear me?
I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?,"It's just, I've never talked to a snake before."
"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?",Do you...?
you won't believe what this snake is doing!,"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?","I mean, do you talk to people often?"
Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?"
Anytime.,Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?
Snake!,Anytime.,Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.,Do you miss your family?
Mum! Mummy! Help me!,Snake!,Anytime.,Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here! ",I never knew my parents either.,I see. That's me as well.
My darling boy!,Mum! Mummy! Help me!,Snake!,Anytime.,Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here! ",I never knew my parents either.
How did you get in there?,My darling boy!,Mum! Mummy! Help me!,Snake!,Anytime.,Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here! "
Who did this?,How did you get in there?,My darling boy!,Mum! Mummy! Help me!,Snake!,Anytime.,Thanks.,you won't believe what this snake is doing!
How did you get in there?,Who did this?,How did you get in there?,My darling boy!,Mum! Mummy! Help me!,Snake!,Anytime.,Thanks.
ls there a snake?,How did you get in there?,Who did this?,How did you get in there?,My darling boy!,Mum! Mummy! Help me!,Snake!,Anytime.
"It's all right, sweetheart.",ls there a snake?,How did you get in there?,Who did this?,How did you get in there?,My darling boy!,Mum! Mummy! Help me!,Snake!
We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?,Who did this?,How did you get in there?,My darling boy!,Mum! Mummy! Help me!
What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?,Who did this?,How did you get in there?,My darling boy!
"I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?,Who did this?,How did you get in there?
"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?,Who did this?
There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?
And smile!,There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?
"Vernon, just look at him!",And smile!,There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart."
I can't believe it!,"Vernon, just look at him!",And smile!,There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?,We'll get you out of these cold clothes.
"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!",And smile!,There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?
Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!",And smile!,There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!"
Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!",And smile!,There's no such thing as magic.,"One minute the glass was there and then it was gone, it was like magic."
Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!",And smile!,There's no such thing as magic.
What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!",And smile!
Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!"
You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!
Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings."
"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.
That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?,Proudest moment of my life.
It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?,Will I have to wear that too?
It'll fit you well enough.,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?
Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!
Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.
"Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.
"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it."
Yours? Who'd be writing to you?,"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.
No more mail through this letterbox.,Yours? Who'd be writing to you?,"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.
"Have a lovely day at the office, dear.",No more mail through this letterbox.,Yours? Who'd be writing to you?,"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.
Shoo! Go on.,"Have a lovely day at the office, dear.",No more mail through this letterbox.,Yours? Who'd be writing to you?,"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!
"Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear.",No more mail through this letterbox.,Yours? Who'd be writing to you?,"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.
"In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear.",No more mail through this letterbox.,Yours? Who'd be writing to you?,"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!"
"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear.",No more mail through this letterbox.,Yours? Who'd be writing to you?,"Hey, give it back! It's mine!"
Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear.",No more mail through this letterbox.,Yours? Who'd be writing to you?
"Right you are, Harry!",Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear.",No more mail through this letterbox.
No post on Sunday.,"Right you are, Harry!",Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear."
"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, Harry!",Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.
Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, Harry!",Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday."
"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, Harry!",Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week."
Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, Harry!",Because there's no post on Sundays?,"Why is that, Dudley?"
"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, Harry!",Because there's no post on Sundays?
Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.,"Right you are, Harry!"
Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir.",No post on Sunday.
Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!,"No blasted letters today! No, sir."
They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable...",Not one single bloody letter. Not one!
Let go of me!,They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable..."
That's it!,Let go of me!,They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!
We're going away!,That's it!,Let go of me!,They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?"
"Far away, where they can't find us!",We're going away!,That's it!,Let go of me!,They're my letters!,Get off!,Give me that letter!,Give me that!
"Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!,That's it!,Let go of me!,They're my letters!,Get off!,Give me that letter!
"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!,That's it!,Let go of me!,They're my letters!,Get off!
Who's there?,"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!,That's it!,Let go of me!,They're my letters!
Sorry about that.,Who's there?,"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!,That's it!,Let go of me!
"I demand that you leave at once, Sir!",Sorry about that.,Who's there?,"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!,That's it!
You are breaking and entering!,"I demand that you leave at once, Sir!",Sorry about that.,Who's there?,"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!
"Dry up, Dursley, you great prune.",You are breaking and entering!,"I demand that you leave at once, Sir!",Sorry about that.,Who's there?,"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!"
"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune.",You are breaking and entering!,"I demand that you leave at once, Sir!",Sorry about that.,Who's there?,"Make a wish, Harry.","Daddy's gone mad, hasn't he?"
But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune.",You are breaking and entering!,"I demand that you leave at once, Sir!",Sorry about that.,Who's there?,"Make a wish, Harry."
Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune.",You are breaking and entering!,"I demand that you leave at once, Sir!",Sorry about that.,Who's there?
I'm not Harry.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune.",You are breaking and entering!,"I demand that you leave at once, Sir!",Sorry about that.
I am.,I'm not Harry.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune.",You are breaking and entering!,"I demand that you leave at once, Sir!"
"Well, of course you are.",I am.,I'm not Harry.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune.",You are breaking and entering!
Got something for you.,"Well, of course you are.",I am.,I'm not Harry.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune."
"Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.,I'm not Harry.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry."
"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.,I'm not Harry.,Particularly 'round the middle.,But you're a bit more along than I would have expected.
Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.,I'm not Harry.,Particularly 'round the middle.
"It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.,I'm not Harry.
"Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.
"Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are."
"Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.
